date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,49.73539352416992,41.4692497253418,54.78986358642578,23.536434173583984,63.437015533447266,61.21158981323242,49.12971115112305,29.362154006958008,50.43130874633789,83.28443145751953,98.4270477294922
2019-01-03,48.32501602172851,40.77528381347656,54.246463775634766,23.007307052612305,61.50667190551758,58.12239074707031,48.84746551513672,29.49786376953125,50.42161178588867,81.59333801269531,96.29590606689452
2019-01-04,50.22510528564453,42.5300178527832,56.0921516418457,23.771604537963867,63.83877182006836,60.6983642578125,49.88884353637695,29.798368453979492,51.168243408203125,84.02733612060547,99.48274230957033
2019-01-07,50.401405334472656,43.01579284667969,56.925994873046875,23.80099868774414,64.35810089111328,61.2411994934082,49.82072067260742,30.050405502319336,50.81917190551758,84.34991455078125,101.7322769165039
2019-01-08,50.9302978515625,43.73949432373047,57.366336822509766,23.82059860229492,65.239990234375,61.75442123413086,50.27814483642578,30.573863983154297,51.44944381713867,85.0048599243164,102.85704040527344
2019-01-09,50.94988632202149,43.79897689819336,58.275123596191406,23.93818092346191,65.68092346191406,62.553863525390625,49.81098556518555,30.447845458984375,51.139156341552734,85.38609313964844,103.37995910644533
2019-01-10,51.400421142578125,43.88820266723633,58.44377136230469,23.947980880737305,66.5726089477539,62.8302116394043,50.10295867919922,30.932527542114254,51.80821228027344,85.55225372314453,103.083984375
2019-01-11,51.19474411010742,43.67009735107422,58.09711456298828,24.006771087646484,66.5040283203125,62.7117805480957,50.24895095825195,30.99069023132324,51.614280700683594,85.83574676513672,103.18264770507812
2019-01-14,50.80297088623047,43.511478424072266,57.95658493041992,24.173351287841797,66.49422454833984,62.12946701049805,50.00563430786133,30.893754959106445,50.450706481933594,84.88754272460938,102.55119323730467
2019-01-15,50.46996307373047,44.23518371582031,58.16270065307617,24.3889217376709,66.2884521484375,63.06708526611328,50.501991271972656,31.24272727966309,51.07127380371094,86.41248321533203,103.4786376953125
2019-01-16,50.66585159301758,44.04682540893555,58.08774948120117,24.90825080871582,66.35704040527344,63.12629699707031,50.22948455810547,31.38813209533691,51.25551223754883,86.2560806274414,103.2418441772461
2019-01-17,51.557132720947266,44.22526931762695,58.62178039550781,25.04543113708496,67.49369812011719,63.53095626831055,50.443599700927734,31.543230056762695,51.46883773803711,87.01853942871094,103.94234466552734
2019-01-18,52.40923309326172,44.58216857910156,59.811641693115234,25.47657585144043,68.77733612060547,64.49818420410156,51.04701232910156,31.659557342529297,51.52701187133789,88.05471801757812,105.3828353881836
2019-01-22,51.68445587158203,43.66019058227539,58.50935363769531,25.1826171875,67.35651397705078,63.41251373291016,50.579856872558594,31.601390838623047,51.62397766113281,87.44865417480469,103.80421447753906
2019-01-23,51.33185958862305,43.461910247802734,57.90974426269531,25.212011337280273,67.4544906616211,63.62965774536133,51.18326950073242,31.62078094482422,52.1475830078125,87.54639434814453,104.01141357421876
2019-01-24,51.05762481689453,43.66019058227539,58.21891403198242,25.27080345153809,67.7974624633789,64.1626205444336,50.55065155029297,31.746795654296875,52.419090270996094,86.81326293945312,104.44554138183594
2019-01-25,52.02725601196289,44.215354919433594,58.95906829833984,25.47657585144043,68.65974426269531,65.07061767578125,50.34627532958984,32.11516189575195,51.7015495300293,86.92078399658203,105.5998992919922
2019-01-28,51.94890594482422,43.82871627807617,58.36882019042969,25.398183822631836,68.00323486328125,64.20209503173828,50.56039047241211,32.4350471496582,51.459136962890625,85.93350982666016,104.98818969726562
2019-01-29,52.48759078979492,43.313201904296875,58.54682922363281,25.309995651245117,68.94390106201172,63.5112190246582,50.67717742919922,32.68708419799805,51.604583740234375,86.35382843017578,104.30741119384766
2019-01-30,53.045860290527344,43.93777084350586,59.37129592895508,25.45697593688965,70.02176666259766,65.48514556884766,51.01781463623047,32.95851135253906,52.002140045166016,87.53663635253906,106.359619140625
2019-01-31,52.25252151489258,45.73216247558594,59.755428314208984,25.417781829833984,70.32553100585938,65.41606140136719,51.96187210083008,33.27840042114258,53.09783935546875,88.63143920898438,107.32652282714844
2019-02-01,52.40923309326172,45.573543548583984,60.79538345336914,25.52556610107422,70.43331909179688,65.80097198486328,51.796417236328125,33.074832916259766,52.89421463012695,88.70964050292969,105.7577667236328
2019-02-04,52.321083068847656,45.99983596801758,60.9359245300293,25.63335418701172,71.34459686279297,66.8570327758789,52.1273193359375,33.26870346069336,52.98147964477539,88.45549011230469,106.44841003417967
2019-02-05,52.70306396484375,46.50543594360352,61.02960586547851,25.56476402282715,71.96192169189453,67.41959381103516,52.137054443359375,33.491661071777344,53.0881462097168,88.32841491699219,107.4449234008789
2019-02-06,52.389652252197266,45.46449279785156,60.57990264892578,25.53536605834961,71.98152160644531,67.6466064453125,52.14678955078125,33.22993087768555,53.059051513671875,88.72919464111328,107.0009307861328
2019-02-07,51.66486740112305,45.028282165527344,59.240135192871094,25.28059959411621,71.49158477783203,66.71885681152344,52.10786056518555,33.51104736328125,53.757198333740234,87.75167846679688,106.1228256225586
2019-02-08,51.61589813232422,45.33561325073242,58.96842956542969,25.153217315673828,71.599365234375,67.10376739501953,52.35116958618164,33.51104736328125,53.98991775512695,87.91785430908203,105.69856262207033
2019-02-11,51.69425201416016,44.86966323852539,59.24950408935547,25.23160743713379,71.98152160644531,67.07416534423828,52.487430572509766,33.60797882080078,53.97052001953125,87.81033325195312,105.88602447509766
2019-02-12,52.849979400634766,45.38517761230469,59.999019622802734,25.603958129882812,73.09857177734375,67.96243286132812,52.89619064331055,33.37533950805664,54.09657669067383,89.01266479492188,107.51398468017578
2019-02-13,52.91853713989258,45.414920806884766,60.74853515625,25.672548294067383,73.52971649169922,68.05125427246094,52.99351501464844,33.598289489746094,53.941436767578125,89.20818328857422,108.2440948486328
2019-02-14,52.64429473876953,45.58345413208008,60.96403121948242,25.358989715576172,73.186767578125,68.1697006225586,52.39982986450195,33.724308013916016,53.85416793823242,89.41345977783203,107.84944152832033
2019-02-15,53.35927963256836,45.78173065185547,61.94777297973633,25.897918701171875,74.16664123535156,68.71253204345703,52.89619064331055,33.92787551879883,54.01900100708008,90.7624282836914,108.58941650390624
2019-02-19,53.692283630371094,45.831295013427734,62.135154724121094,25.93711280822754,74.13723754882812,68.73226165771484,53.168701171875,33.966651916503906,54.3389892578125,90.54737854003906,109.0334014892578
2019-02-20,54.612945556640625,45.67267990112305,62.397483825683594,26.103687286376953,74.48999786376953,68.81122589111328,53.07137680053711,33.753387451171875,54.58140182495117,90.43984985351562,109.2504653930664
2019-02-21,54.39747619628906,45.24638748168945,61.4324836730957,25.966508865356445,74.18623352050781,68.84083557128906,53.22709655761719,33.811553955078125,54.97895812988281,89.6480712890625,109.0334014892578
2019-02-22,54.63253402709961,45.67267990112305,61.610496520996094,25.927310943603516,74.6761703491211,69.71923065185547,52.97405242919922,34.00542449951172,55.318328857421875,90.46917724609376,109.6253890991211
2019-02-25,54.98513412475586,45.72224426269531,61.71355438232422,26.035097122192383,74.97013092041016,70.05480194091797,52.68207550048828,33.724308013916016,54.95956039428711,90.59625244140624,109.26033020019533
2019-02-26,54.67171478271485,45.72224426269531,61.516807556152344,25.956710815429688,74.76436614990234,70.20283508300781,52.711273193359375,33.656455993652344,54.89168548583984,90.27367401123048,109.4083251953125
2019-02-27,54.58356475830078,45.49422836303711,61.75102996826172,26.054697036743164,75.0583267211914,70.13375091552734,52.63341522216797,33.549827575683594,54.95956039428711,89.85334014892578,109.3293914794922
2019-02-28,53.91755676269531,45.52397155761719,61.13267517089844,25.986106872558594,74.80355072021484,69.93636322021484,52.88645553588867,33.64675521850586,55.279541015625,89.58941650390625,108.73741149902344
2019-03-01,53.8489990234375,45.88086700439453,62.2569465637207,26.15268325805664,74.87214660644531,70.41011047363281,52.78913497924805,33.60797882080078,55.39590072631836,90.86019134521484,109.6155242919922
2019-03-04,54.09385299682617,45.94034957885742,62.369380950927734,25.986106872558594,74.53898620605469,70.14363098144531,52.70154571533203,33.74369812011719,55.49287033081055,89.62850952148438,109.27020263671876
2019-03-05,53.839202880859375,46.22784805297851,62.16325759887695,25.888118743896484,74.05885314941406,69.93636322021484,52.66261291503906,33.840633392333984,55.42499542236328,89.57964324951172,109.54645538330078
2019-03-06,53.95673370361328,46.20802688598633,61.37626647949219,25.72154235839844,73.3631362915039,69.57118225097656,52.584747314453125,33.753387451171875,55.42499542236328,88.26976776123047,109.0334014892578
2019-03-07,53.515987396240234,45.80155944824219,61.0108757019043,25.45697593688965,72.92219543457031,68.909912109375,52.24411392211914,33.724308013916016,55.609222412109375,87.57572174072266,107.7113037109375
2019-03-08,53.6041374206543,45.77181625366211,59.86785507202149,25.44717788696289,72.77521514892578,68.90003967285156,52.27330780029297,33.753387451171875,55.80315399169922,87.39000701904297,106.96146392822266
2019-03-11,54.36809158325195,46.59465789794922,60.80475616455078,25.711742401123047,73.39254760742188,70.3804931640625,52.95458221435547,34.276851654052734,56.200706481933594,88.3870620727539,108.43155670166016
2019-03-12,54.573768615722656,46.80284881591797,61.19825744628906,25.770532608032227,72.78501892089844,70.79502868652344,52.97405242919922,34.46102523803711,56.588565826416016,89.0322265625,108.73741149902344
2019-03-13,54.83821868896485,46.94163513183594,61.81660461425781,25.946908950805664,73.42192840576172,71.25889587402344,53.27576446533203,34.625823974609375,56.64674377441406,89.99018096923828,109.12220764160156
2019-03-14,54.426856994628906,46.73344802856445,61.8821907043457,26.044898986816406,73.17697143554688,71.40694427490234,53.22709655761719,34.71306610107422,56.63705062866211,89.84356689453125,108.7966079711914
2019-03-15,54.49473571777344,46.69670486450195,61.857643127441406,26.22709846496582,72.91875457763672,72.2713394165039,53.52850341796875,34.57072448730469,56.84218215942383,90.25662994384766,109.49456787109376
