,value
total_return,0.03172004012870566
annual_return,0.06191187096118855
annual_volatility,0.03299862620017515
sharpe_ratio,1.836976656151295
maximum_drawdown,-0.017945985439231316
average_daily_turnover,0.0706373329318874
active_days,131.0
