date,gross_return,cost,net_return,turnover,gross_exposure,net_exposure,factor_count,equity,drawdown
2019-06-26,0.0005923721165056552,0.0004999999999999999,9.237211650565535e-05,0.9999999999999999,0.9999999999999999,0.0,2,1.0000923721165056,0.0
2019-06-27,0.0002538022946943024,0.0,0.0002538022946943024,0.0,0.9999999999999999,0.0,2,1.000346197855455,0.0
2019-06-28,0.000523208802300735,0.0,0.000523208802300735,0.0,0.9999999999999999,0.0,2,1.0008695877915212,0.0
2019-07-01,0.00027482518378848446,0.0,0.00027482518378848446,0.0,0.9999999999999999,0.0,2,1.0011446519599343,0.0
2019-07-02,0.002174634205066912,0.0,0.002174634205066912,0.0,0.9999999999999999,0.0,2,1.003321775364306,0.0
2019-07-03,0.00038744244379893813,0.0,0.00038744244379893813,0.0,0.9999999999999999,0.0,2,1.0037105048048698,0.0
2019-07-05,0.0028346881784400914,0.0,0.0028346881784400914,0.0,0.9999999999999999,0.0,2,1.0065557111074162,0.0
2019-07-08,0.0029771244985204144,0.0,0.0029771244985204144,0.0,0.9999999999999999,0.0,2,1.0095523527740797,0.0
2019-07-09,0.0008511823928859131,0.0,0.0008511823928859131,0.0,0.9999999999999999,0.0,2,1.0104116659614575,0.0
2019-07-10,0.00035055901072560266,0.0,0.00035055901072560266,0.0,0.9999999999999999,0.0,2,1.0107658748755024,0.0
2019-07-11,-0.0004274577596557293,0.0,-0.0004274577596557293,0.0,0.9999999999999999,0.0,2,1.0103338151590917,-0.00042745775965569166
2019-07-12,0.005678378768846108,0.0,0.005678378768846108,0.0,0.9999999999999999,0.0,2,1.0160708732445385,0.0
2019-07-15,0.0001964786891582237,0.0,0.0001964786891582237,0.0,0.9999999999999999,0.0,2,1.0162705095178053,0.0
2019-07-16,0.0011989028652140679,0.0,0.0011989028652140679,0.0,0.9999999999999999,0.0,2,1.0174889191434986,0.0
2019-07-17,-0.0018539988939995614,0.0,-0.0018539988939995614,0.0,0.9999999999999999,0.0,2,1.0156024958127499,-0.0018539988939993979
2019-07-18,-0.002080313722711164,0.0,-0.002080313722711164,0.0,0.9999999999999999,0.0,2,1.013489724003891,-0.0039304557173694965
2019-07-19,-0.0011853533394756842,0.0,-0.0011853533394756842,0.0,0.9999999999999999,0.0,2,1.0122883805750187,-0.005111150078034865
2019-07-22,0.0005364306265745772,0.0,0.0005364306265745772,0.0,0.9999999999999999,0.0,2,1.0128314030652845,-0.004577461228899349
2019-07-23,-0.0010356683082442927,0.0,-0.0010356683082442927,0.0,0.9999999999999999,0.0,2,1.0117824456795352,-0.005608388805616649
2019-07-24,0.0013605393942874384,0.0,0.0013605393942874384,0.0,0.9999999999999999,0.0,2,1.0131590155553307,-0.004255479845237775
2019-07-25,-0.0012914315081369297,0.0007260903069145289,-0.0020175218150514586,1.4521806138290578,1.0000000000000002,-3.469446951953614e-17,2,1.0111149451393318,-0.006264416136867901
2019-07-26,0.0066744155857886385,0.0,0.0066744155857886385,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0178635464881935,0.0
2019-07-29,-0.0014706785708662863,0.0,-0.0014706785708662863,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0163665963823074,-0.0014706785708662462
2019-07-30,-0.0002394516866079457,0.0,-0.0002394516866079457,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0161232256865917,-0.0017097781010099178
2019-07-31,0.0016703886679515709,0.0,0.0016703886679515709,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0178205464080212,-4.224542702280232e-05
2019-08-01,0.0024291875686692967,0.0,0.0024291875686692967,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0202930234264918,0.0
2019-08-02,-0.0003957320267762433,0.0,-0.0003957320267762433,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0198892608004255,-0.00039573202677622987
2019-08-05,-0.0018908076241194362,0.0,-0.0018908076241194362,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0179608464103465,-0.0022857913977624156
2019-08-06,-0.0008559748983694446,0.0,-0.0008559748983694446,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0170894974782962,-0.003139809716072528
2019-08-07,0.0006400335836461362,0.0,0.0006400335836461362,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.017740468914256,-0.002501785716091054
2019-08-08,0.0023569972025828537,0.0,0.0023569972025828537,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.020139280352442,-0.00015068521544270297
2019-08-09,-0.0008328027881213005,0.0,-0.0008328027881213005,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0192897055154926,-0.0009833625124963108
2019-08-12,0.0005148963965883519,0.0,0.0005148963965883519,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0198145341119422,-0.0004689724457220823
2019-08-13,0.0006677714367600267,0.0,0.0006677714367600267,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0204955371286148,0.0
2019-08-14,-0.0026011662847154997,0.0,-0.0026011662847154997,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0178410585437332,-0.002601166284715517
2019-08-15,0.0004573645849761383,0.0,0.0004573645849761383,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0183065829970457,-0.00214499138107771
2019-08-16,-0.001639181755076882,0.0,-0.001639181755076882,0.0,1.0000000000000002,-3.469446951953614e-17,2,1.0166373934251223,-0.0037806571054179727
